Number,Region,Name,Type 1,Type 2,HP,Attack,Defence,Sp Attack,Sp Defence,Speed,Move 1,Move 2,Move 3,Move 4,Description
29,Kanto,Nidoran f,Poison,,115,47,52,40,40,41,Scratch,Growl,,,"Nidoran f has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged, it releases a horrible toxin from its horn. "
30,Kanto,Nidorina,Poison,,130,62,67,55,55,56,Scratch,Growl,Poison Sting,,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others. "
31,Kanto,Nidoqueen,Poison,Ground,150,82,87,75,85,76,Scratch,Growl,Poison Sting,Earthquake,Nidoqueen's body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young. 
32,Kanto,Nidoran m,Poison,,106,57,40,40,40,50,Scratch,Growl,,,"Nidoran m has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon's notice. "
33,Kanto,Nidorino,Poison,,121,72,57,55,55,65,Scratch,Growl,Poison Sting,,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might. "
34,Kanto,Nidoking,Poison,Ground,141,92,77,85,75,85,Scratch,Growl,Poison Sting,Earthquake,"Nidoking's thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it. "
35,Kanto,Clefairy,Fairy,,130,45,48,60,65,35,Growl,Pound,Defence Curl,,"On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other. "
36,Kanto,Clefable,Fairy,,155,70,73,85,90,60,Growl,Pound,Defence Curl,Moonblast,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step even lets it walk on water. It is known to take strolls on lakes on quiet, moonlit nights. "
37,Kanto,Vulpix,Fire,,98,41,40,50,65,65,Tackle,Tail Whip,Ember,,"Inside Vulpix's body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot. "
38,Kanto,Ninetales,Fire,,133,76,75,81,100,100,Tackle,Tail Whip,Ember,Flamethrower,Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent-it can understand human speech. 
39,Kanto,Jigglypuff,Normal,Fairy,175,45,20,45,25,20,Pound,Defence Curl,,,"When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life. "
40,Kanto,Wigglytuff,Normal,Fairy,200,70,45,75,50,45,Pound,Defence Curl,Headbutt,Dazzling Gleam,"Wigglytuff's body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon. "
41,Kanto,Zubat,Poison,Flying,100,45,35,30,40,55,Wing Attack,Confuse Ray,,,"Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down. "
42,Kanto,Golbat,Poison,Flying,135,80,70,65,75,90,Wing Attack,Confuse Ray,Crunch,Air Slash,"Golbat bites down on prey with its four fangs and drinks the victim's blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon. "
43,Kanto,Oddish,Grass,Poison,105,50,55,75,65,30,Growth,Absorb,,,"Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon's feet are thought to change shape and become similar to the roots of trees.. "
44,Kanto,Gloom,Grass,Poison,120,65,70,85,75,40,Acid,Absorb,Razor Leaf,,"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey. "
45,Kanto,Vileplume,Grass,Poison,135,80,85,100,90,50,Acid,Growth,Razor Leaf,Petal Dance,"Vileplume has the world's largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them. "
46,Kanto,Paras,Bug,Grass,95,70,55,45,55,25,Scratch,Growth,Absorb,,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life. 
47,Kanto,Parasect,Bug,Grass,120,95,80,60,80,30,Absorb,Growth,Slash,X-Scissor,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once. "
48,Kanto,Venonat,Bug,Poison,120,55,50,40,55,45,Tackle,Confusion,,,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even miniscule prey. "
49,Kanto,Venomoth,Bug,Poison,130,65,60,90,75,90,Tackle,Confusion,Gust,Bug Buzz,"Venomoth is nocturnal-it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness. "
50,Kanto,Diglett,Ground,,70,55,25,35,45,95,Scratch,Growl,,,"Diglett are raised in most farms. The reason is simple-wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables. "
51,Kanto,Dugtrio,Ground,,95,80,50,50,70,120,Scratch,Growl,Slash,Earthquake,"Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly. "
52,Kanto,Meowth,Normal,,100,35,35,50,40,90,Scratch,Growl,Pay Day,,"Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light. "
53,Kanto,Persian,Normal,,125,70,60,65,65,115,Scratch,Growl,Bite,Slash,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon's surrounding vicinity. It becomes docile if grabbed by the whiskers. 
54,Kanto,Psyduck,Water,,110,52,48,65,50,55,Scratch,Tail Whip,Water Gun,,"Psyduck uses a mysterious power. When it does so, this Pokémon generates brain waves that are supposedly only seen in sleepers. This discovery spurred controversy among scholars. "
55,Kanto,Golduck,Water,,140,82,78,95,80,85,Scratch,Tail Whip,Hydro Pump,Psybeam,"Golduck is the fastest swimmer among all Pokémon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas. "
56,Kanto,Mankey,Fighting,,100,80,35,35,45,70,Scratch,Leer,Karate Chop,,"When Mankey starts shaking and its nasal breathing turns rough, it's a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath. "
57,Kanto,Primeape,Fighting,,125,105,60,60,70,95,Scratch,Leer,Karate Chop,Low Kick,"When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time. "
58,Kanto,Growlithe,Fire,,115,70,45,70,50,60,Ember,Leer,Bite,,"Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won't forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things. "
59,Kanto,Arcanine,Fire,,150,110,80,100,80,95,Ember,Leer,Bite,Flamethrower,"Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon's body is its source of power. "
60,Kanto,Poliwag,Water,,100,50,40,40,40,90,Bubble,Pound,,,"Poliwag has a very thin skin. It is possible to see the Pokémon's spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it. "
61,Kanto,Poliwhirl,Water,,125,65,65,50,50,90,Bubble,Pound,Bubble Beam,,"The surface of Poliwhirl's body is always wet and slick with an oily fluid. Because of this greasy covering, it can easily slip and slide out of the clutches of any enemy in battle. "
62,Kanto,Poliwrath,Water,Fighting,150,85,95,70,90,70,Bubble,Pound,Bubble Beam,Low Kick,"Poliwrath's highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort. "
63,Kanto,Abra,Psychic,,85,20,15,105,55,90,Confusion,,,,"Abra needs to sleep for eighteen hours a day. If it doesn't, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping. "
64,Kanto,Kadabra,Psychic,,100,35,30,120,70,105,Confusion,Psybeam,,,"Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon, the Pokémon is said to be limited to half the usual amount of its telekinetic powers. "
65,Kanto,Alakazam,Psychic,,115,50,45,135,85,120,Confusion,Psybeam,Calm Mind,Psychic,"Alakazam's brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world. "
66,Kanto,Machop,Fighting,,130,80,50,35,35,35,Low Kick,Leer,,,Machop's muscles are special-they never get sore no matter how much they are used in exercise. This Pokémon has sufficient power to hurl a hundred adult humans. 
67,Kanto,Machoke,Fighting,,140,100,70,50,60,45,Low Kick,Leer,Karate Chop,,"Machoke undertakes bodybuilding every day even as it helps people with tough, physically demanding labor. On its days off, this Pokémon heads to the fields and mountains to exercise and train. "
68,Kanto,Machamp,Fighting,,150,130,80,65,85,55,Low Kick,Leer,Karate Chop,Brick Break,"Machamp has the power to hurl anything aside. However, trying to do any work requiring care and dexterity causes its arms to get tangled. This Pokémon tends to leap into action before it thinks. "
69,Kanto,Bellsprout,Grass,Poison,110,75,35,70,30,40,Vine Whip,Growth,,,"Bellsprout's thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron. "
70,Kanto,Weepinbell,Grass,Poison,125,90,50,85,45,55,Vine Whip,Growth,Acid,,"Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground. "
71,Kanto,Victreebel,Grass,Poison,80,105,65,100,60,70,Vine Whip,Growth,Acid,Razor Leaf,"Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole. "
72,Kanto,Tentacool,Water,Poison,100,40,35,50,100,70,Poison Sting,Bubble Beam,,,"Tentacool's body is largely composed of water. If it is removed from the sea, it dries up like parchment. If this Pokémon happens to become dehydrated, put it back into the sea. "
73,Kanto,Tentacruel,Water,Poison,140,70,65,80,120,100,Poison Sting,Bubble Beam,Poison Jab,Hydro Pump,Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin. It can catch up to 80 prey at the same time. 
74,Kanto,Geodude,Rock,Ground,100,80,100,30,30,20,Tackle,Defence Curl,,,"The longer a Geodude lives, the more its edges are chipped and worn away, making it more rounded in appearance. However, this Pokémon's heart will remain hard, craggy, and rough always. "
75,Kanto,Graveler,Rock,Ground,115,95,115,45,45,35,Tackle,Defence Curl,Rock Throw,,"Rocks are Graveler's favorite food. This Pokémon will climb a mountain from the base to the summit, crunchingly feasting on rocks all the while. Upon reaching the peak, it rolls back down to the bottom. "
76,Kanto,Golem,Rock,Ground,140,110,130,55,65,45,Tackle,Defence Curl,Rock Throw,Earthquake,"Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon's course. "
77,Kanto,Ponyta,Fire,,110,85,55,65,65,90,Tackle,Growl,Ember,,Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent. 
78,Kanto,Rapidash,Fire,,125,100,70,90,90,105,Tackle,Growl,Ember,Fire Blast,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph. "
79,Kanto,Slowpoke,Water,Psychic,150,65,65,40,40,15,Tackle,Growl,Water Gun,,"Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it's doing and often spends entire days just loafing at water's edge. "
80,Kanto,Slowbro,Water,Psychic,155,75,110,100,80,30,Tackle,Growl,Water Gun,Psychic,"Slowbro's tail has a Shellder firmly attached with a bite. As a result, the tail can't be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead. "
81,Kanto,Magnemite,Electric,Steel,85,35,70,95,55,45,Tackle,Thunder Shock,,,"Magnemite attaches itself to power lines to feed on electricity. If your house has a power outage, check your circuit breakers. You may find a large number of this Pokémon clinging to the breaker box. "
82,Kanto,Magneton,Electric,Steel,110,60,95,120,70,70,Tackle,Thunder Shock,Thunderbolt,Flash Cannon,"Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this, it is said that some towns warn people to keep this Pokémon inside a Poké Ball. "
83,Kanto,Farfetch'd,Normal,Flying,112,65,55,58,62,60,Peck,Leer,Slash,Air Slash,"Farfetch'd is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks. "
84,Kanto,Doduo,Normal,Flying,95,85,45,35,35,75,Peck,Growl,,,"Doduo's two heads never sleep at the same time. Its two heads take turns sleeping, so one head can always keep watch for enemies while the other one sleeps. "
85,Kanto,Dodrio,Normal,Flying,120,110,70,60,60,100,Peck,Growl,Agility,Drill Peck,"Apparently, the heads aren't the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest. "
86,Kanto,Seel,Water,,125,45,55,45,70,45,Headbutt,Growl,Waterfall,,"Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head. "
87,Kanto,Dewgong,Water,Ice,150,70,80,70,95,70,Headbutt,Growl,Waterfall,Ice Beam,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago. 
88,Kanto,Grimer,Poison,,140,80,50,40,50,25,Pound,Harden,,,Grimer emerged from the sludge that settled on a polluted seabed. This Pokémon loves anything filthy. It constantly leaks a horribly germ- infested fluid from all over its body. 
89,Kanto,Muk,Poison,,165,105,75,65,100,50,Pound,Harden,Acid Armor,Sludge,From Muk's body seeps a foul fluid that gives off a nose-bendingly horrible stench. Just one drop of this Pokémon's body fluid can turn a pool stagnant and rancid. 
90,Kanto,Shellder,Water,,90,65,100,45,25,40,Tackle,Water Gun,,,"At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out. "
91,Kanto,Cloyster,Water,Ice,110,95,180,85,45,70,Tackle,Water Gun,Hydro Pump,Ice Beam,"Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system. "
92,Kanto,Gastly,Ghost,Poison,90,35,30,100,35,80,Lick,Leer,Confuse Ray,,"Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind. "
93,Kanto,Haunter,Ghost,Poison,105,50,45,115,55,95,Lick,Confuse Ray,Dark Pulse,,"Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away. "
94,Kanto,Gengar,Ghost,Poison,120,65,60,130,75,110,Lick,Confuse Ray,Dark Pulse,Shadow Ball,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow. "
95,Kanto,Onix,Rock,Ground,95,45,160,30,45,70,Tackle,Harden,Rock Throw,Earthquake,"Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother. "
96,Kanto,Drowzee,Psychic,,120,48,45,43,90,42,Pound,Confusion,,,"If your nose becomes itchy while you are sleeping, it's a sure sign that one of these Pokémon is standing above your pillow and trying to eat you dream through your nostrils. "
97,Kanto,Hypno,Psychic,,145,73,70,73,115,67,Pound,Confusion,Meditate,Psychic,"Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum. "
98,Kanto,Krabby,Water,,90,105,90,25,25,50,Bubble,Leer,,,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory. "
99,Kanto,Kingler,Water,,115,130,115,50,50,75,Bubble,Leer,Bubble Beam,Crabhammer,"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires. "
100,Kanto,Voltorb,Electric,,100,30,50,55,55,100,Tackle,Thunder Shock,,,Voltorb is extremely sensitive - it explodes at the slightest of shocks. It is rumored that it was first created when a Poké Ball was exposed to a powerful pulse of energy. 
101,Kanto,Electrode,Electric,,120,50,70,80,80,140,Tackle,Thunder Shock,Screech,Thunderbolt,One of Electrode's characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated. 
102,Kanto,Exeggcute,Grass,Psychic,120,40,80,60,45,40,Headbutt,Confusion,,,"This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution. "
103,Kanto,Exeggutor,Grass,Psychic,155,95,85,125,65,55,Headbutt,Confusion,Razor Leaf,Psychic,"Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute. "
104,Kanto,Cubone,Ground,,110,50,95,40,50,35,Growl,Headbutt,Bone Club,,"Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds. "
105,Kanto,Marowak,Ground,,120,80,110,50,80,45,Growl,Headbutt,Bone Club,Earthquake,Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokemon's tempered and hardened spirit is not easily broken. 
106,Kanto,Hitmonlee,Fighting,,110,120,53,35,110,87,Meditate,Brick Break,Jump Kick,Mega Kick,"Hitmonlee's legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue. "
107,Kanto,Hitmonchan,Fighting,,110,105,79,35,110,76,Agility,Thunder Punch,Fire Punch,Ice Punch,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity. 
108,Kanto,Lickitung,Normal,,150,55,76,60,75,30,Lick,Acid,Stomp,Screech,"Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things. "
109,Kanto,Koffing,Poison,,100,65,95,60,45,35,Tackle,Sludge,Smog,,"Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful Poison Gas. The higher the temperature, the more gas is concocted by this Pokémon. "
110,Kanto,Weezing,Poison,,125,90,120,85,70,60,Tackle,Sludge,Smog,Sludge Bomb,"Weezing alternately shrinks and inflates its twin bodies to mix together toxic gases inside. The more the gases are mixed, the more powerful the toxins become. The Pokémon also becomes more putrid. "
111,Kanto,Rhyhorn,Ground,Rock,140,85,95,30,30,25,Horn Attack,Tail Whip,,,"Rhyhorn runs in a straight line, smashing everything in its path. It is not bothered even if it rushes headlong into a block of steel. This Pokémon may feel some pain from the collision the next day, however. "
112,Kanto,Rhydon,Ground,Rock,165,130,120,45,45,40,Horn Attack,Tail Whip,Stomp,Earthquake,"Rhydon has a horn that serves as a drill. It is used for destroying rocks and boulders. This Pokémon occasionally rams into streams of magma, but the armor-like hide prevents it from feeling the heat. "
113,Kanto,Chansey,Normal,,310,5,5,35,105,50,Pound,Growl,Defence Curl,Egg Bomb,"Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite. "
114,Kanto,Tangela,Grass,,125,55,115,100,40,60,Confusion,Vine Whip,Growth,Power Whip,"Tangela's vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day. "
115,Kanto,Kangaskhan,Normal,,165,95,80,40,80,90,Leer,Headbutt,Bite,Mega Punch,"If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pokémon's parent is sure to be in the area, and it will become violently enraged at you. "
116,Kanto,Horsea,Water,,90,40,70,70,25,60,Bubble,Leer,,,"If Horsea senses danger, it will reflexively spray a dense black ink from its mouth and try to escape. This Pokémon swims by cleverly flapping the fin on its back. "
117,Kanto,Seadra,Water,,115,65,95,95,45,85,Bubble,Leer,Agility,Hydro Pump,"Seadra generates whirlpools by spinning its body. The whirlpools are strong enough to swallow even fishing boats. This Pokémon weakens prey with these currents, then swallows it whole. "
118,Kanto,Goldeen,Water,,105,67,60,35,50,63,Peck,Tail Whip,Horn Attack,,"Goldeen loves swimming wild and free in rivers and ponds. If one of these Pokémon is placed in an aquarium, it will shatter even the thickest glass with one ram of its horn and make its escape. "
119,Kanto,Seaking,Water,,140,92,65,65,80,68,Peck,Tail Whip,Horn Attack,Waterfall,Seaking is very protective of its eggs. The male and female will take turns patrolling around their nest and eggs. The guarding of eggs by these Pokémon goes on for over a month. 
